ID,Timezone,DST Diff,DST Rule,Country,City,Name
45,1,1,2,Slovakia,Bratislava,BRATISLAVA
46,-4,1,0,Barbados,Bridgetown,BRIDGETOWN
47,10,1,0,Australia,Brisbane,BRISBANE
48,1,1,2,Belgium,Brussels,BRUSSELS
49,2,1,2,Romania,Bucharest,BUCHAREST
50,1,1,2,Hungary,Budapest,BUDAPEST
51,-3,1,0,Argentina,Buenos Aires,BUENOS AIRES
52,2,1,22,Egypt,Cairo,CAIRO
53,-7,1,1,Canada,Calgary,CALGARY
54,10,1,4,Australia,Canberra,CANBERRA
55,2,1,0,South Africa,Cape Town,CAPE TOWN
56,-4,1,0,Venezuela,Caracas,CARACAS
57,0,1,2,Wales,Cardiff,CARDIFF
58,0,1,15,Morocco,Casablanca,CASABLANCA
59,1,1,2,Italy,Catanzaro,CATANZARO
60,-3,1,0,French Guiana,Cayenne,CAYENNE
61,-5,1,1,United States,Charlotte,CHARLOTTE
62,-4,1,0,US Virgin Islands,Charlotte Amalie,CHARLOTTE AMALIE
63,12.75,1,23,New Zealand,Chatham Islands,CHATHAM ISLANDS
64,5,1,0,Russia,Chelyabinsk,CHELYABINSK
65,5.5,1,0,India,Chennai,CHENNAI
66,-6,1,1,United States,Chicago,CHICAGO
67,-6,1,0,Mexico,Chihuahua,CHIHUAHUA
68,2,1,2,Moldova,Chisinau,CHISINAU
69,9,1,0,Russia,Chita,CHITA
70,-5,1,1,United States,Cleveland,CLEVELAND
71,5.5,1,0,Sri Lanka,Colombo,COLOMBO
72,-5,1,1,United States,Columbus,COLUMBUS
73,0,1,0,Guinea,Conakry,CONAKRY
74,1,1,2,Denmark,Copenhagen,COPENHAGEN
75,0,1,2,Ireland,Cork,CORK
76,1,1,2,Italy,Crotone,CROTONE
77,0,1,0,Senegal,Dakar,DAKAR
78,-6,1,1,United States,Dallas,DALLAS
79,3,1,0,Syria,Damascus,DAMASCUS
80,3,1,0,Tanzania,Dar es Salaam,DAR ES SALAAM
81,9.5,1,0,Australia,Darwin,DARWIN
82,5.5,1,0,India,Delhi,DELHI
83,8,1,0,Indonesia,Denpasar,DENPASAR
84,-7,1,1,United States,Denver,DENVER
85,-5,1,1,United States,Detroit,DETROIT
86,6,1,0,Bangladesh,Dhaka,DHAKA
87,6,1,0,UK,Diego Garcia,DIEGO GARCIA
88,3,1,0,Djibouti,Djibouti,DJIBOUTI
89,3,1,0,Qatar,Doha,DOHA
90,1,1,0,Cameroon,Douala,DOUALA
91,4,1,0,United Arab Emirates,Dubai,DUBAI
92,0,1,2,Ireland,Dublin,DUBLIN
93,5,1,0,Tajikistan,Dushanbe,DUSHANBE
94,-6,1,28,Chile,Easter Island,EASTER ISLAND
95,0,1,2,Scotland,Edinburgh,EDINBURGH
96,-7,1,1,Canada,Edmonton,EDMONTON
97,-7,1,1,United States,El Paso,EL PASO
98,-2,1,0,Brazil,Fernando de Noronha,FERNANDO DE NORONHA
99,1,1,2,Italy,Florence,FLORENCE
100,-4,1,0,Martinique,Fort-de-France,FORT-DE-FRANCE
101,1,1,2,Germany,Frankfurt,FRANKFURT
102,0,1,0,Sierra Leone,Freetown,FREETOWN
103,2,1,0,Botswana,Gaborone,GABORONE
104,-6,1,0,Ecuador,Galapagos Islands,GALAPAGOS ISLANDS
105,1,1,2,Switzerland,Geneva,GENEVA
106,1,1,2,Italy,Genoa,GENOA
107,-4,1,0,Guyana,George Town,GEORGE TOWN
108,-2,1,0,South Georgia,Grytviken,GRYTVIKEN
109,10,1,0,United States,Guam,GUAM
110,8,1,0,China,Guangzhou,GUANGZHOU
111,-6,1,0,Guatemala,Guatemala City,GUATEMALA CITY
112,8,1,0,China,Haikou,HAIKOU
113,-4,1,1,Canada,Halifax,HALIFAX
114,1,1,2,Germany,Hamburg,HAMBURG
115,7,1,0,Vietnam,Hanoi,HANOI
116,2,1,0,Zimbabwe,Harare,HARARE
117,-5,1,21,Cuba,Havana,HAVANA
118,2,1,2,Finland,Helsinki,HELSINKI
119,-10,1,0,United States,Hilo,HILO
120,7,1,0,Vietnam,Ho Chi Minh City,HO CHI MINH CITY
121,10,1,4,Australia,Hobart,HOBART
122,8,1,0,Hong Kong,Hong Kong,HONG KONG
123,-10,1,0,United States,Honolulu,HONOLULU
124,-6,1,1,United States,Houston,HOUSTON
125,7,1,0,Mongolia,Hovd,HOVD
126,5.5,1,0,India,Hyderabad,HYDERABAD
127,-5,1,1,United States,Indianapolis,INDIANAPOLIS
128,8,1,0,Russia,Irkutsk,IRKUTSK
129,5,1,0,Pakistan,Islamabad,ISLAMABAD
130,3,1,0,Turkey,Istanbul,ISTANBUL
131,4,1,0,Russia,Izhevsk,IZHEVSK
132,7,1,0,Indonesia,Jakarta,JAKARTA
133,3,1,0,Saudi Arabia,Jeddah,JEDDAH
134,2,1,42,,Jerusalem,JERUSALEM
135,2,1,0,South Africa,Johannesburg,JOHANNESBURG
136,4.5,1,0,Afghanistan,Kabul,KABUL
137,2,1,0,Russia,Kaliningrad,KALININGRAD
138,3,1,0,Uganda,Kampala,KAMPALA
139,5,1,0,Pakistan,Karachi,KARACHI
140,5.75,1,0,Nepal,Kathmandu,KATHMANDU
141,10,1,0,Russia,Khabarovsk,KHABAROVSK
142,2,1,2,Ukraine,Kharkiv,KHARKIV
143,2,1,0,Sudan,Khartoum,KHARTOUM
144,-5,1,1,Canada,Kingston,KINGSTON
145,-5,1,0,Jamaica,Kingston,KINGSTON
146,1,1,0,D.R. Congo,Kinshasa,KINSHASA
147,14,1,0,Kiribati,Kiritimati,KIRITIMATI
148,5.5,1,0,India,Kolkata,KOLKATA
149,7,1,0,Russia,Krasnoyarsk,KRASNOYARSK
150,8,1,0,Malaysia,Kuala Lumpur,KUALA LUMPUR
151,3,1,0,Kuwait,Kuwait City,KUWAIT CITY
152,2,1,2,Ukraine,Kyiv,KYIV
153,-4,1,0,Bolivia,La Paz,LA PAZ
154,1,1,0,Nigeria,Lagos,LAGOS
155,0,1,14,Canary Islands - Spain,Las Palmas,LAS PALMAS
156,-8,1,1,United States,Las Vegas,LAS VEGAS
157,-5,1,0,Peru,Lima,LIMA
158,0,1,2,Portugal,Lisbon,LISBON
159,1,1,2,Slivenia,Ljubljana,LJUBLJANA
160,0,1,2,UK,London,LONDON
161,-8,1,1,United States,Los Angeles,LOS ANGELES
162,-5,1,1,United States,Louisville,LOUISVILLE
163,1,1,0,Angola,Luanda,LUANDA
164,2,1,0,D.R. Congo,Lubumbashi,LUBUMBASHI
165,2,1,0,Zambia,Lusaka,LUSAKA
166,1,1,2,Luxembourg,Luxembourg,LUXEMBOURG
167,2,1,2,Ukraine,Lviv,LVIV
168,8,1,0,China,Macau,MACAU
169,1,1,2,Spain,Madrid,MADRID
170,11,1,0,Russia,Magadan,MAGADAN
171,1,1,0,Equaorial Guinea,Malabo,MALABO
172,5,1,0,Maldives,Male,MALE
173,3,1,0,France,Mamoudzou,MAMOUDZOU
174,-6,1,0,Nicaragua,Managua,MANAGUA
175,3,1,0,Bahrain,Manama,MANAMA
176,8,1,0,Philippines,Manila,MANILA
177,2,1,0,Mozambique,Maputo,MAPUTO
178,-4,1,0,Saint Martin,Marigot,MARIGOT
179,-7,1,0,Mexico,Mazatlan,MAZATLAN
180,3,1,0,Saudi Arabia,Mecca,MECCA
181,10,1,4,Australia,Melbourne,MELBOURNE
182,-6,1,1,United States,Memphis,MEMPHIS
183,1,1,2,Italy,Messina,MESSINA
184,-6,1,0,Mexico,Mexico City,MEXICO CITY
185,-5,1,1,United States,Miami,MIAMI
186,-11,1,0,United States,Midway,MIDWAY
187,1,1,2,Italy,Milan,MILAN
188,-6,1,1,United States,Milwaukee,MILWAUKEE
189,3,1,0,Belarus,Minsk,MINSK
190,3,1,0,Somalia,Mogadishu,MOGADISHU
191,0,1,0,Liberia,Monrovia,MONROVIA
192,-3,1,0,Uruguay,Montevideo,MONTEVIDEO
193,-5,1,1,Canada,Montreal,MONTREAL
194,3,1,0,Russia,Moscow,MOSCOW
195,5.5,1,0,India,Mumbai,MUMBAI
196,1,1,2,Germany,Munich,MUNICH
197,4,1,0,Oman,Muscat,MUSCAT
198,1,1,0,Chad,N'Djamena,N'DJAMENA
199,3,1,0,Kenya,Nairobi,NAIROBI
200,1,1,2,Italy,Naples,NAPLES
201,1,1,2,Switzerland,Naters,NATERS
202,-5,1,1,United States,New York,NEW YORK
203,1,1,0,Niger,Niamey,NIAMEY
204,0,1,0,Mauritania,Nouakchott,NOUAKCHOTT
205,11,1,0,New Caledonia,Noumea,NOUMEA
206,7,1,0,Russia,Novokuznetsk,NOVOKUZNETSK
207,7,1,0,Russia,Novosibirsk,NOVOSIBIRSK
208,13,1,0,Tonga,Nuku'alofa,NUKU'ALOFA
209,-2,1,31,Greenland,Nuuk,NUUK
210,6,1,0,Russia,Omsk,OMSK
211,9,1,0,Japan,Osaka,OSAKA
212,1,1,2,Norway,Oslo,OSLO
213,-5,1,1,Canada,Ottawa,OTTAWA
214,0,1,0,Burkina Faso,Ouagadougou,OUAGADOUGOU
215,-11,1,0,American Samoa,Pago Pago,PAGO PAGO
216,1,1,2,Italy,Palermo,PALERMO
217,-5,1,0,Panama,Panama City,PANAMA CITY
218,-10,1,0,Tahiti - French Polynesia,Papeete,PAPEETE
219,-3,1,0,Suriname,Paramaribo,PARAMARIBO
220,1,1,2,France,Paris,PARIS
221,5,1,0,Russia,Perm,PERM
222,8,1,0,Australia,Perth,PERTH
223,12,1,0,Russia,Petropavlovsk-Kamchatsky,KAMCHATKA
224,-5,1,1,United States,Philadelphia,PHILADELPHIA
225,7,1,0,Cambodia,Phnom Penh,PHNOM PENH
226,-7,1,0,United States,Phoenix,PHOENIX
227,1,1,2,Montenegro,Podgorica,PODGORICA
228,-1,1,2,Portugal,Ponta Delgada,PONTA DELGADA
229,4,1,0,Mauritius,Port Louis,PORT LOUIS
230,-5,1,1,Haiti,Port-au-Prince,PORT-AU-PRINCE
231,-8,1,1,United States,Portland,PORTLAND
232,1,1,2,Czech,Prague,PRAGUE
233,-1,1,0,Cabo Verde,Praia,PRAIA
234,9,1,0,North Korea,Pyongyang,PYONGYANG
235,-5,1,0,Ecuador,Quito,QUITO
236,0,1,15,Morocco,Rabat,RABAT
237,-3,1,0,Brazil,Recife,RECIFE
238,-6,1,0,Canada,Regina,REGINA
239,0,1,0,Iceland,Reykjavik,REYKJAVIK
240,2,1,2,Latvia,Riga,RIGA
241,-3,1,0,Brazil,Rio de Janeiro,RIO DE JANEIRO
242,3,1,0,Saudi Arabia,Riyadh,RIYADH
243,1,1,2,Italy,Rome,ROME
244,-4,1,1,Canada,Saint John,SAINT JOHN
245,-4,1,0,Antigua and Barbuda,Saint John's,SAINT JOHN'S
246,4,1,0,Reunion,Saint-Denis,SAINT-DENIS
247,3,1,0,Russia,Saint-Petersburg,SAINT-PETERSBURG
248,4,1,0,Russia,Samara,SAMARA
249,-6,1,1,United States,San Antonio,SAN ANTONIO
250,-8,1,1,United States,San Diego,SAN DIEGO
251,-8,1,1,United States,San Francisco,SAN FRANCISCO
252,-6,1,0,Costa Rica,San Jose,SAN JOSE
253,-8,1,1,United States,San Jose,SAN JOSE
254,-4,1,0,Puerto Rico,San Juan,SAN JUAN
255,1,1,2,San Marino,San Marino,SAN MARINO
256,-6,1,0,El Salvador,San Salvador,SAN SALVADOR
257,3,1,0,Yemen,Sana'a,SANA'A
258,-4,1,27,Chile,Santiago,SANTIAGO
259,-4,1,0,Dominican,Santo Domingo,SANTO DOMINGO
260,-3,1,0,Brazil,Sao Paulo,SAO PAULO
261,-8,1,1,United States,Seattle,SEATTLE
262,9,1,0,South Korea,Seoul,SEOUL
263,8,1,0,China,Shanghai,SHANGHAI
264,8,1,0,China,Shenzhen,SHENZHEN
265,8,1,0,Singapore,Singapore,SINGAPORE
266,1,1,2,Macedonia,Skopje,SKOPJE
267,2,1,2,Bulgaria,Sofia,SOFIA
268,-3.5,1,1,Canada,St. John's,ST. JOHN'S
269,1,1,2,Sweden,Stockholm,STOCKHOLM
270,12,1,19,Fiji,Suva,SUVA
271,10,1,4,Australia,Sydney,SYDNEY
272,8,1,0,Taiwan,Taipei,TAIPEI
273,2,1,2,Estonia,Tallinn,TALLINN
274,12,1,0,Kiribati,Tarawa,TARAWA
275,5,1,0,Uzbekistan,Tashkent,TASHKENT
276,4,1,0,Georgia,Tbilisi,TBILISI
277,-6,1,0,Honduras,Tegucigalpa,TEGUCIGALPA
278,3.5,1,0,Iran,Tehran,TEHRAN
279,8,1,0,China,Tianjin,TIANJIN
280,-8,1,1,Mexico,Tijuana,TIJUANA
281,9,1,0,Japan,Tokyo,TOKYO
282,-5,1,1,Canada,Toronto,TORONTO
283,2,1,0,Libya,Tripoli,TRIPOLI
284,1,1,0,Tunisia,Tunis,TUNIS
285,1,1,2,Italy,Turin,TURIN
286,5,1,0,Russia,Ufa,UFA
287,8,1,0,Mongolia,Ulaanbaatar,ULAANBAATAR
288,1,1,2,Liechtenstein,Vaduz,VADUZ
289,1,1,2,Malta,Valletta,VALLETTA
290,-8,1,1,Canada,Vancouver,VANCOUVER
291,1,1,2,Italy,Verona,VERONA
292,4,1,0,Seychelles,Victoria,VICTORIA
293,1,1,2,Austria,Vienna,VIENNA
294,2,1,2,Lithuania,Vilnius,VILNIUS
295,10,1,0,Russia,Vladivostok,VLADIVOSTOK
296,3,1,0,Russia,Volgograd,VOLGOGRAD
297,1,1,2,Poland,Warsaw,WARSAW
298,-5,1,1,United States,Washington DC,WASHINGTON DC
299,12,1,5,New Zealand,Wellington,WELLINGTON
300,-6,1,1,Canada,Winnipeg,WINNIPEG
301,9,1,0,Russia,Yakutsk,YAKUTSK
302,0,1,0,Cote d'lvoire,Yamoussoukro,YAMOUSSOUKRO
303,6.5,1,0,Myanmar,Yangon,YANGON
304,1,1,0,Cameroon,Yaounde,YAOUNDE
305,5,1,0,Russia,Yekaterinburg,YEKATERINBURG
306,4,1,0,Armenia,Yerevan,YEREVAN
307,11,1,0,Russia,Yuzhno-Sakhalinsk,YUZHNO-SAKHALINSK
308,1,1,2,Croatia,Zagreb,ZAGREB
309,1,1,2,Switzerland,Zurich,ZURICH
310,8.75,1,0,Australia,Eucla,EUCLA
311,10.5,0.5,18,Australia,Lord Howe Island,LORD HOWE ISLAND
312,11,1,4,Australia,Norfolk Island,NORFOLK ISLAND
313,-12,1,0,United States,Baker Island,BAKER ISLAND
314,-9.5,1,0,France,Marquesas Islands,MARQUESAS ISLANDS
